Date,Open,High,Low,Close
10/04/13, 1226.10, 1241.52, 1223.45, 1240.99
10/03/13, 1240.40, 1247.89, 1225.21, 1229.58
10/02/13, 1228.14, 1242.72, 1226.38, 1241.89
10/01/13, 1223.61, 1238.07, 1222.57, 1231.32
09/30/13, 1218.46, 1229.42, 1212.22, 1225.91
09/27/13, 1248.53, 1248.53, 1227.77, 1231.68
09/26/13, 1253.25, 1258.87, 1247.47, 1255.22
09/25/13, 1253.70, 1257.32, 1247.50, 1248.44
09/24/13, 1250.75, 1259.05, 1244.59, 1249.59
09/23/13, 1254.81, 1263.48, 1251.86, 1252.24
09/20/13, 1274.23, 1274.66, 1251.11, 1252.75
09/19/13, 1290.45, 1293.55, 1272.64, 1278.03
09/18/13, 1252.98, 1290.66, 1249.01, 1288.13
09/17/13, 1244.21, 1255.94, 1244.21, 1252.78
09/16/13, 1251.93, 1258.18, 1239.89, 1240.90
09/13/13, 1235.02, 1238.37, 1229.46, 1234.59
09/12/13, 1245.38, 1247.07, 1236.03, 1239.23
09/11/13, 1251.45, 1259.02, 1241.83, 1253.88
09/10/13, 1243.02, 1255.56, 1242.99, 1255.43
09/09/13, 1207.33, 1231.96, 1207.33, 1230.55
09/06/13, 1200.29, 1208.31, 1191.41, 1197.94
09/05/13, 1175.89, 1196.57, 1175.07, 1192.86
09/04/13, 1163.61, 1181.68, 1161.26, 1181.33
09/03/13, 1167.64, 1176.88, 1160.06, 1166.04
08/30/13, 1153.00, 1154.85, 1134.92, 1139.36
08/29/13, 1155.67, 1162.48, 1147.92, 1151.63
08/28/13, 1153.52, 1170.89, 1151.74, 1161.62
08/27/13, 1171.79, 1172.59, 1154.61, 1156.12
08/26/13, 1193.04, 1199.90, 1182.35, 1184.93
08/23/13, 1190.26, 1195.89, 1186.17, 1192.97
08/22/13, 1163.46, 1188.31, 1163.46, 1183.16
08/21/13, 1165.45, 1169.06, 1148.24, 1151.55
08/20/13, 1172.20, 1182.18, 1168.38, 1174.87
08/19/13, 1188.09, 1192.04, 1174.56, 1176.79
08/16/13, 1193.31, 1200.52, 1184.77, 1190.45
08/15/13, 1192.99, 1198.95, 1176.84, 1194.30
08/14/13, 1200.65, 1214.52, 1199.70, 1206.40
08/13/13, 1212.33, 1213.78, 1199.32, 1202.16
08/12/13, 1200.31, 1216.70, 1200.13, 1206.55
08/09/13, 1170.33, 1208.26, 1169.96, 1200.92
08/08/13, 1140.02, 1169.56, 1140.02, 1161.68
08/07/13, 1119.85, 1136.67, 1117.76, 1127.32
08/06/13, 1133.30, 1133.90, 1118.39, 1122.13
08/05/13, 1136.47, 1141.96, 1134.85, 1137.58
08/02/13, 1131.04, 1144.49, 1127.98, 1137.12
08/01/13, 1133.95, 1136.82, 1130.26, 1133.11
07/31/13, 1126.39, 1133.78, 1118.70, 1120.94
07/30/13, 1133.28, 1134.65, 1123.99, 1126.99
07/29/13, 1134.21, 1137.26, 1127.07, 1131.91
07/26/13, 1131.67, 1138.25, 1125.75, 1138.03
